,County Name,Trend Direction,Mean MME/Pop After,Mean MME/Pop Before,Absolute Change,Percentage Change
0,ALBANY,decreased,28.023321990211052,115.59348664729409,-87.57016465708304,-75.75700603640627
1,ALLEGANY,increased,35.99874306371247,22.785193083583394,13.213549980129073,57.99182798959629
2,BRONX,decreased,25.757088322088546,101.30482611184769,-75.54773778975914,-74.57466804824195
3,BROOME,decreased,61.0046653725106,86.93479540890407,-25.930130036393464,-29.827101926713272
4,CATTARAUGUS,neutral,43.50449384154417,66.98421149409964,-23.479717652555472,-35.05261483091983
5,CAYUGA,decreased,32.1321881641411,26.807410708373627,5.324777455767471,19.863080077719744
6,CHAUTAUQUA,decreased,48.37704722693218,73.25698198321244,-24.879934756280264,-33.96254402342394
7,CHEMUNG,decreased,58.360779421680526,69.46763749356454,-11.106858071884012,-15.988535773816906
8,CHENANGO,decreased,31.25679877685135,25.56149600944394,5.695302767407412,22.280788124854777
9,CLINTON,decreased,49.449049222499404,57.79271201733889,-8.343662794839489,-14.43722314387363
10,COLUMBIA,decreased,40.08721841800308,48.824329025493434,-8.73711060749035,-17.894993708829677
11,CORTLAND,decreased,38.50864455342143,45.454235771276764,-6.9455912178553305,-15.280404785167146
12,DELAWARE,increased,46.44264237109345,26.099891090063025,20.342751281030424,77.94190102492608
13,DUTCHESS,increased,42.22122985170124,31.604882541163825,10.616347310537414,33.5908456445302
14,ERIE,decreased,62.19222927680495,733.1575562997336,-670.9653270229287,-91.51720817136622
15,ESSEX,decreased,41.95258455456813,30.069178545950773,11.88340600861736,39.52022164641948
16,FRANKLIN,neutral,46.09058597744712,45.969927364508834,0.12065861293828561,0.2624729249223054
17,FULTON,neutral,28.67240883372218,30.002515249143265,-1.3301064154210849,-4.4333163548981664
18,GENESEE,decreased,34.16823123030448,51.376068188992605,-17.207836958688127,-33.49387675091675
19,GREENE,decreased,63.33387142475899,322.83747489042037,-259.5036034656614,-80.38211906896615
20,HERKIMER,neutral,33.642166929716474,40.35828236744996,-6.716115437733485,-16.64123209353977
21,JEFFERSON,increased,26.620199768728874,16.322892904810473,10.2973068639184,63.085060497356515
22,KINGS,decreased,18.800373908288172,824.3020031139864,-805.5016292056982,-97.71923714399995
23,LEWIS,decreased,23.77543654359754,16.468656513958134,7.306780029639405,44.36779662898724
24,LIVINGSTON,neutral,29.507605818058078,30.497386991420232,-0.9897811733621538,-3.2454622215359197
25,MADISON,decreased,33.52835575839723,19.43735722913517,14.090998529262063,72.49441558927924
26,MONROE,decreased,35.84072669473728,387.1676183851651,-351.32689169042783,-90.74283979527391
27,MONTGOMERY,increased,39.97436482715226,25.337924421142915,14.636440406009342,57.76495407728088
28,NASSAU,neutral,48.84071389420593,49.353491408222645,-0.5127775140167117,-1.038989338718353
29,NEW YORK,decreased,34.14688456903455,166.10808883952683,-131.9612042704923,-79.44297306194218
30,NIAGARA,decreased,47.080769656127224,66.43557541995595,-19.35480576382873,-29.133195041184095
31,ONEIDA,neutral,41.390143157600676,39.787543380390424,1.6025997772102514,4.027893257667435
32,ONONDAGA,decreased,35.94804525616063,117.1673289930068,-81.21928373684617,-69.31905372844489
33,ONTARIO,neutral,31.94111801889872,28.74115687705556,3.1999611418431613,11.133724211351186
34,ORANGE,decreased,51.17247567008821,226.8945771283377,-175.72210145824948,-77.44658496569372
35,ORLEANS,neutral,33.32708417130637,29.063990003611256,4.263094167695112,14.667959103913173
36,OSWEGO,decreased,35.90605028227493,59.45267548347104,-23.546625201196107,-39.605661157743036
37,OTSEGO,increased,51.55301562091449,42.356745246062516,9.196270374851977,21.711466075658546
38,PUTNAM,increased,31.494984290349098,17.03298771467176,14.46199657567734,84.90581228576924
39,QUEENS,decreased,19.06458154649296,127.83959530336561,-108.77501375687265,-85.0871074010737
40,RENSSELAER,decreased,31.482621312598575,21.72855742564856,9.754063886950014,44.89052676564824
41,RICHMOND,decreased,49.1689034917308,84.48500444757421,-35.31610095584341,-41.801620520430035
42,ROCKLAND,decreased,33.1667978983279,73.17806241137869,-40.01126451305079,-54.67658365716623
43,SARATOGA,decreased,31.268609240921368,43.09621822086301,-11.82760897994164,-27.44465632535678
44,SCHENECTADY,decreased,24.953387984241388,81.723789595149,-56.77040161090761,-69.46618835487459
45,SCHOHARIE,decreased,41.4919822014405,60.76488443476945,-19.27290223332895,-31.717170883486556
46,SCHUYLER,decreased,51.433446123631455,40.21426327896796,11.219182844663493,27.89851642148849
47,SENECA,decreased,37.08590735992668,24.254693777630113,12.831213582296566,52.90198136465726
48,STEUBEN,increased,46.15317196750689,21.061788807499596,25.091383160007297,119.13225125053415
49,SUFFOLK,decreased,42.61692178111153,513.3853568873091,-470.76843510619756,-91.69884352769607
50,SULLIVAN,decreased,80.53488087120391,93.99197137947098,-13.457090508267072,-14.317276583057465
51,TIOGA,decreased,45.15963482747587,28.218035303252265,16.941599524223605,60.038196643233356
52,TOMPKINS,decreased,44.17252333706088,36.61316792750882,7.559355409552062,20.646548325233667
53,ULSTER,decreased,53.77028333184673,91.04934960127592,-37.279066269429194,-40.94380292960026
54,WARREN,neutral,64.43277880771191,58.625296235012215,5.807482572699698,9.906103586102395
55,WASHINGTON,decreased,45.713676043264044,33.18388289038353,12.529793152880515,37.758670961654
56,WAYNE,increased,36.537231093923324,24.471762189337184,12.06546890458614,49.30363743826873
57,WESTCHESTER,decreased,23.76353096569258,333.79688358327576,-310.0333526175832,-92.8808409741297
58,WYOMING,decreased,28.609450651755267,53.286420394215206,-24.67696974245994,-46.31005340553684
