County Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Vermillion County,16117,16072,15924,15853,15661,15597,15588,15507,15508,15493,157320
Vigo County,107891,108350,108561,108251,107989,107615,107871,107648,107438,106958,1078572
Wabash County,32850,32574,32396,32281,32117,31883,31569,31401,31210,31028,319309
Warren County,8521,8472,8393,8370,8340,8272,8166,8203,8268,8262,83267
Warrick County,59840,60213,60365,60877,60986,61563,62046,62433,62443,62851,613617
Washington County,28297,28201,27919,27788,27895,27784,27719,27780,27936,28063,279382
Wayne County,68897,68661,68256,67829,67427,67044,66723,66307,66131,65943,673218
Wells County,27680,27737,27707,27716,27817,27854,27863,27934,27982,28131,278421
White County,24685,24594,24467,24404,24436,24279,24105,24178,24168,24197,243513
Whitley County,33351,33357,33336,33287,33449,33451,33479,33732,34036,33868,335346
Grand Total,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,66054287
